gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000198951,0.139956141412148,-0.140992238174146,0.055319651563719,0.0876760415902889,-0.139956141412149,Fip1 v.s. NC,NAGA,protein_coding
ENSG00000205560,0.104744623655914,-0.0946128570431908,0.609987268758002,0.800101834276661,-0.104744623655914,Fip1 v.s. NC,CPT1B,protein_coding
ENSG00000206195,0.135647900731487,0.0474304279735826,0.354018885678196,0.186659445718516,-0.000962916263068214,Fip1 v.s. NC,DUXAP8,lncRNA
ENSG00000215012,0.499935606342589,0.493635682981221,1.94062757548056e-13,0,0.48073289659793,Fip1 v.s. NC,RTL10,protein_coding
ENSG00000215193,0.0723582059237761,0.0925223062385456,0.557347204208445,0.773483340076257,0.0723582059237761,Fip1 v.s. NC,PEX26,protein_coding
ENSG00000224205,0.0259653370714923,-0.0393992198648064,0.659152731343579,0.962462440074033,-0.02378347600297,Fip1 v.s. NC,GSTT3P,transcribed_unprocessed_pseudogene
ENSG00000226328,0.292709249799745,-0.291059707000673,0.0105568936258895,0.00121917482096931,-0.0888412964689507,Fip1 v.s. NC,NUP50-DT,lncRNA
ENSG00000231711,0.235330654000731,0.224467030829487,0.220418006482437,0.230123816255242,0.235330654000731,Fip1 v.s. NC,LINC00899,lncRNA
ENSG00000235954,0.0647765905779505,-0.0377764667954917,0.424363871715363,1,-0.0340177622456377,Fip1 v.s. NC,TTC28-AS1,lncRNA
ENSG00000239900,0.0150035832396394,-0.0193535041519566,0.467620204790687,0.971067311986808,-0.00382703436946118,Fip1 v.s. NC,ADSL,protein_coding
ENSG00000241878,0.0213688610240334,-0.011518411519903,0.800790249417684,0.990488607850144,-0.0078996218540297,Fip1 v.s. NC,PISD,protein_coding
ENSG00000242259,0.0848682967877456,0.0904864969530624,0.552456679311068,0.804129967539799,0.0848682967877457,Fip1 v.s. NC,C22orf39,protein_coding
ENSG00000244509,0.0358636873788389,0.0574936770790265,0.500886997433464,0.816312681797714,0.0351649825390297,Fip1 v.s. NC,APOBEC3C,protein_coding
ENSG00000253352,0.0451796055554226,-0.061299993017481,0.415378844041375,0.718125516644267,-0.0451796055554226,Fip1 v.s. NC,TUG1,protein_coding
ENSG00000273899,0.0376684023473014,-0.0465782291000148,0.457432351030328,0.968929633426041,-0.0271839202347093,Fip1 v.s. NC,NOL12,protein_coding
ENSG00000285722,0.178553756185335,0.186436492074936,0.23917172592596,0.380243718084936,0.178553756185335,Fip1 v.s. NC,NA,lncRNA
ENSG00000286129,0.0678410947712418,-0.000105564009426957,0.456543414101868,1,0.00477870745999553,Fip1 v.s. NC,NA,lncRNA
ENSG00000290931,0.202279764914055,-0.100360501456342,0.19794722100783,0.893342290420453,-0.0598532643804067,Fip1 v.s. NC,NA,lncRNA
ENSG00000291087,0.00521685467435921,-0.00452451595502325,0.887339083640841,0.997818597551092,-0.00203747729357235,Fip1 v.s. NC,CRYBB2P1,lncRNA
